[326888][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06724415719509125, 'lighthouse.angle1y_3': -0.4469800889492035} 
[326898][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06715214252471924, 'lighthouse.angle1y_3': -0.4467579424381256} 
[326908][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06715214252471924, 'lighthouse.angle1y_3': -0.4467579424381256} 
[326918][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0668436586856842, 'lighthouse.angle1y_3': -0.4461206793785095} 
[326928][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.0668436586856842, 'lighthouse.angle1y_3': -0.4461206793785095} 
[326938][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06642266362905502, 'lighthouse.angle1y_3': -0.4454706907272339} 
[326948][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06642266362905502, 'lighthouse.angle1y_3': -0.4454706907272339} 
[326958][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06560502201318741, 'lighthouse.angle1y_3': -0.44501280784606934} 
[326968][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06560502201318741, 'lighthouse.angle1y_3': -0.44501280784606934} 
[326978][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06471459567546844, 'lighthouse.angle1y_3': -0.44460389018058777} 
[326988][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06471459567546844, 'lighthouse.angle1y_3': -0.44460389018058777} 
[326998][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06365357339382172, 'lighthouse.angle1y_3': -0.443850576877594} 
[327008][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06365357339382172, 'lighthouse.angle1y_3': -0.443850576877594} 
[327018][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06257252395153046, 'lighthouse.angle1y_3': -0.4430665075778961} 
[327028][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06257252395153046, 'lighthouse.angle1y_3': -0.4430665075778961} 
[327038][lighthouse3]: {'lighthouse.angle0x_3': 0.010700628161430359, 'lighthouse.angle0y_3': -0.3487682044506073, 'lighthouse.angle1x_3': -0.06149211525917053, 'lighthouse.angle1y_3': -0.4421216547489166} 
[327048][lighthouse3]: {'lighthouse.angle0x_3': -0.0003599300980567932, 'lighthouse.angle0y_3': -0.3323436379432678, 'lighthouse.angle1x_3': -0.06149211525917053, 'lighthouse.angle1y_3': -0.4421216547489166} 
[327059][lighthouse3]: {'lighthouse.angle0x_3': -0.0003599300980567932, 'lighthouse.angle0y_3': -0.3323436379432678, 'lighthouse.angle1x_3': -0.06025952100753784, 'lighthouse.angle1y_3': -0.44126418232917786} 
[327068][lighthouse3]: {'lighthouse.angle0x_3': -0.0003599300980567932, 'lighthouse.angle0y_3': -0.3323436379432678, 'lighthouse.angle1x_3': -0.06025952100753784, 'lighthouse.angle1y_3': -0.44126418232917786} 
[327078][lighthouse3]: {'lighthouse.angle0x_3': -0.0003599300980567932, 'lighthouse.angle0y_3': -0.3323436379432678, 'lighthouse.angle1x_3': -0.05884300917387009, 'lighthouse.angle1y_3': -0.4401210844516754} 
[327088][lighthouse3]: {'lighthouse.angle0x_3': -0.003649011254310608, 'lighthouse.angle0y_3': -0.3275827169418335, 'lighthouse.angle1x_3': -0.05884300917387009, 'lighthouse.angle1y_3': -0.4401210844516754} 
[327099][lighthouse3]: {'lighthouse.angle0x_3': -0.003649011254310608, 'lighthouse.angle0y_3': -0.3275827169418335, 'lighthouse.angle1x_3': -0.05754504352807999, 'lighthouse.angle1y_3': -0.43908095359802246} 
[327108][lighthouse3]: {'lighthouse.angle0x_3': -0.003649011254310608, 'lighthouse.angle0y_3': -0.3275827169418335, 'lighthouse.angle1x_3': -0.05754504352807999, 'lighthouse.angle1y_3': -0.43908095359802246} 
[327118][lighthouse3]: {'lighthouse.angle0x_3': -0.003649011254310608, 'lighthouse.angle0y_3': -0.3275827169418335, 'lighthouse.angle1x_3': -0.0560954287648201, 'lighthouse.angle1y_3': -0.437886118888855} 
[327128][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.0560954287648201, 'lighthouse.angle1y_3': -0.437886118888855} 
[327139][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.05463927984237671, 'lighthouse.angle1y_3': -0.4366805851459503} 
[327148][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.05463927984237671, 'lighthouse.angle1y_3': -0.4366805851459503} 
[327158][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.05299907177686691, 'lighthouse.angle1y_3': -0.43518781661987305} 
[327168][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.05299907177686691, 'lighthouse.angle1y_3': -0.43518781661987305} 
[327178][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.051299311220645905, 'lighthouse.angle1y_3': -0.4336833357810974} 
[327188][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.051299311220645905, 'lighthouse.angle1y_3': -0.4336833357810974} 
[327198][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.04975181072950363, 'lighthouse.angle1y_3': -0.4320068657398224} 
[327208][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.04975181072950363, 'lighthouse.angle1y_3': -0.4320068657398224} 
[327218][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.048059917986392975, 'lighthouse.angle1y_3': -0.4301028549671173} 
[327228][lighthouse3]: {'lighthouse.angle0x_3': -0.0073770806193351746, 'lighthouse.angle0y_3': -0.322054386138916, 'lighthouse.angle1x_3': -0.048059917986392975, 'lighthouse.angle1y_3': -0.4301028549671173} 
